File_name,Bench,Sample_name,Sample_type,Treatment,Replicates,Genome
R18033143-YM18E010LCS-Yu1_combined_R1.fastq.gz,LCS7140,Aag-2_miRNA_control,miRNA,control,1,Aedes aegypti / Brugia malayi
R18033143-YM18E010LCS-Yu3_combined_R1.fastq.gz,LCS7140,Aag-2_EV_miRNA,miRNA,mf_EV,1,Aedes aegypti / Brugia malayi
